CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Uruguay,URY,1970,2809799.0,82.368
Uzbekistan,UZB,1970,11972994.0,36.714
Vanuatu,VUT,1970,85388.0,12.325
"Venezuela, RB",VEN,1970,11587758.0,71.852
Vietnam,VNM,1970,42729000.0,18.3
Virgin Islands (U.S.),VIR,1970,63000.0,69.592
"Yemen, Rep.",YEM,1970,6156234.0,13.3
Zambia,ZMB,1970,4185378.0,30.351
Zimbabwe,ZWE,1970,5206311.0,17.362000000000002
Arab World,ARB,1971,125273032.0,39.479791348644
Caribbean small states,CSS,1971,4940523.0,34.529208306489004
Central Europe and the Baltics,CEB,1971,99638983.0,51.4295664450529
East Asia & Pacific (all income levels),EAS,1971,1323050025.0,24.9211984463622
East Asia & Pacific (developing only),EAP,1971,1146964227.0,18.8079324788688
Euro area,EMU,1971,288999688.0,67.5330798630828
Europe & Central Asia (all income levels),ECS,1971,743148494.0,61.247686716713886
Europe & Central Asia (developing only),ECA,1971,186246821.0,45.7037729342776
European Union,EUU,1971,444368185.0,66.0511280433589
Fragile and conflict affected situations,FCS,1971,158282922.0,24.0492721931992
Heavily indebted poor countries (HIPC),HPC,1971,213971961.0,16.683500609245698
High income,HIC,1971,1027734388.0,68.810889893093
High income: nonOECD,NOC,1971,216468801.0,65.4851400217876
High income: OECD,OEC,1971,811265587.0,69.6374580370485
Latin America & Caribbean (all income levels),LCN,1971,295026304.0,57.797948075166104
Latin America & Caribbean (developing only),LAC,1971,241620163.0,54.043193867914106
Least developed countries: UN classification,LDC,1971,316378185.0,13.224180702130301
Low & middle income,LMY,1971,2734363292.0,24.8162398704365
Low income,LIC,1971,203612750.0,15.684364165849097
Lower middle income,LMC,1971,1214104202.0,22.803340274172697
Middle East & North Africa (all income levels),MEA,1971,142463436.0,43.3809654301332
Middle East & North Africa (developing only),MNA,1971,130823545.0,41.5787791318528
Middle income,MIC,1971,2530750542.0,25.551311513546
North America,NAC,1971,229361135.0,73.8530438086208
OECD members,OED,1971,900593213.0,67.8358773156577
Other small states,OSS,1971,8319850.0,21.083097710896197
Pacific island small states,PSS,1971,1171267.0,26.4170707285358
Small states,SST,1971,14431640.0,26.1191383294622
South Asia,SAS,1971,729469562.0,18.9043813018013
Sub-Saharan Africa (all income levels),SSF,1971,299578724.0,18.428518342868
Sub-Saharan Africa (developing only),SSA,1971,299238974.0,18.4162996254525
Upper middle income,UMC,1971,1316646340.0,28.0826645483805
World,WLD,1971,3762097680.0,36.7120755913617
Afghanistan,AFG,1971,11412821.0,11.917
Albania,ALB,1971,2187853.0,31.933000000000003
Algeria,DZA,1971,14960111.0,39.665
American Samoa,ASM,1971,27916.0,70.78399999999999
Andorra,ADO,1971,25560.0,81.78
Angola,AGO,1971,6437645.0,15.434000000000001
Antigua and Barbuda,ATG,1971,66338.0,33.898
Argentina,ARG,1971,24366442.0,79.321
Armenia,ARM,1971,2580894.0,60.657
Aruba,ABW,1971,59438.0,50.608999999999995
Australia,AUS,1971,12937000.0,85.6
Austria,AUT,1971,7500482.0,65.301
Azerbaijan,AZE,1971,5287272.0,50.461999999999996
"Bahamas, The",BHS,1971,173867.0,67.429
Bahrain,BHR,1971,220808.0,84.021
Bangladesh,BGD,1971,66417450.0,7.901
Barbados,BRB,1971,240038.0,37.755
Belarus,BLR,1971,9115576.0,45.349
Belgium,BEL,1971,9673162.0,93.976
Belize,BLZ,1971,124792.0,50.805
Benin,BEN,1971,2971941.0,17.647000000000002
Bermuda,BMU,1971,54600.0,100.0
Bhutan,BTN,1971,301653.0,6.412999999999999
Bolivia,BOL,1971,4600596.0,40.082
Bosnia and Herzegovina,BIH,1971,3790948.0,28.094
Botswana,BWA,1971,715811.0,8.998
Brazil,BRA,1971,98402200.0,56.894
Brunei Darussalam,BRN,1971,135716.0,63.412
Bulgaria,BGR,1971,8536395.0,53.36
Burkina Faso,BFA,1971,5723379.0,5.861000000000001
Burundi,BDI,1971,3507593.0,2.97
Cabo Verde,CPV,1971,273053.0,19.9
Cambodia,KHM,1971,7167716.0,18.717
Cameroon,CMR,1971,6948847.0,21.584
Canada,CAN,1971,21645535.0,76.09
Cayman Islands,CYM,1971,9583.0,100.0
Central African Republic,CAF,1971,1864757.0,28.355999999999998
Chad,TCD,1971,3727382.0,12.312999999999999
Channel Islands,CHI,1971,122413.0,35.803000000000004
Chile,CHL,1971,9741579.0,75.883
China,CHN,1971,841105000.0,17.292
Colombia,COL,1971,22611988.0,55.574
Comoros,COM,1971,233125.0,19.75
"Congo, Dem. Rep.",ZAR,1971,20563111.0,24.846999999999998
"Congo, Rep.",COG,1971,1376189.0,39.919000000000004
Costa Rica,CRI,1971,1898366.0,39.445
Cote d'Ivoire,CIV,1971,5487594.0,28.934
Croatia,HRV,1971,4435000.0,41.242
Cuba,CUB,1971,8869961.0,60.976000000000006
Curacao,CUW,1971,147389.0,78.79899999999999
Cyprus,CYP,1971,620860.0,41.283
Czech Republic,CZE,1971,9826815.0,65.295
Denmark,DNK,1971,4963126.0,80.23899999999999
Djibouti,DJI,1971,169370.0,62.878
Dominica,DMA,1971,71566.0,39.47
Dominican Republic,DOM,1971,4631114.0,41.291000000000004
Ecuador,ECU,1971,6248831.0,39.813
"Egypt, Arab Rep.",EGY,1971,35561087.0,41.838
El Salvador,SLV,1971,3765252.0,39.504
Equatorial Guinea,GNQ,1971,284915.0,27.045
Eritrea,ERI,1971,1854395.0,12.762
Estonia,EST,1971,1376955.0,65.483
Ethiopia,ETH,1971,29246170.0,8.756
Faeroe Islands,FRO,1971,38983.0,28.416999999999998
Fiji,FJI,1971,531601.0,35.147
Finland,FIN,1971,4612124.0,64.523
France,FRA,1971,52480421.0,71.459
French Polynesia,PYF,1971,114311.0,56.203
Gabon,GAB,1971,601734.0,34.082
"Gambia, The",GMB,1971,460193.0,20.63
Georgia,GEO,1971,4009400.0,48.474
Germany,DEU,1971,78312842.0,72.332
Ghana,GHA,1971,8827273.0,29.174
Greece,GRC,1971,8831036.0,64.95100000000001
Greenland,GRL,1971,47200.0,73.433
Grenada,GRD,1971,94180.0,32.282
Guam,GUM,1971,85728.0,67.153
Guatemala,GTM,1971,5577824.0,35.861
Guinea,GIN,1971,4259102.0,16.641
Guinea-Bissau,GNB,1971,724863.0,15.293
Guyana,GUY,1971,703811.0,29.533
Haiti,HTI,1971,4793157.0,20.222
Honduras,HND,1971,2766444.0,29.569000000000003
"Hong Kong SAR, China",HKG,1971,4045300.0,88.039
Hungary,HUN,1971,10367537.0,60.538999999999994
Iceland,ISL,1971,206098.0,85.26899999999999
India,IND,1971,566605402.0,19.991
Indonesia,IDN,1971,117921994.0,17.338
"Iran, Islamic Rep.",IRN,1971,29281130.0,42.11
Iraq,IRQ,1971,10255904.0,57.214
Ireland,IRL,1971,2992050.0,52.269
Isle of Man,IMY,1971,57711.0,55.556000000000004
Israel,ISR,1971,3069000.0,84.789
Italy,ITA,1971,54073490.0,64.75
Jamaica,JAM,1971,1895629.0,41.858000000000004
Japan,JPN,1971,105697000.0,72.666
Jordan,JOR,1971,1573846.0,56.308
Kazakhstan,KAZ,1971,12966920.0,50.753
Kenya,KEN,1971,11657479.0,10.777999999999999
Kiribati,KIR,1971,52020.0,25.348000000000003
"Korea, Dem. Rep.",PRK,1971,14812363.0,54.702
"Korea, Rep.",KOR,1971,32882704.0,42.261
Kuwait,KWT,1971,807900.0,86.444
Kyrgyz Republic,KGZ,1971,3022300.0,37.609
Lao PDR,LAO,1971,2759634.0,9.955
Latvia,LVA,1971,2376389.0,61.433
Lebanon,LBN,1971,2353569.0,61.06
Lesotho,LSO,1971,1053524.0,9.039
Liberia,LBR,1971,1457714.0,26.86
Libya,LBY,1971,2208125.0,52.992
Liechtenstein,LIE,1971,21726.0,18.364
